iter	RMSE
0	2.187694564
1	2.14734217
2	2.108880044
3	2.072835755
4	2.037802313
5	2.004632419
6	1.972166792
7	1.94194786
8	1.912361049
9	1.884653216
10	1.858191851
11	1.832236933
12	1.807912282
13	1.784517682
14	1.761738946
15	1.740557555
16	1.720314611
17	1.7004394
18	1.681721308
19	1.663857066
20	1.647551541
21	1.631151911
22	1.615746176
23	1.600681281
24	1.586530148
25	1.572644451
26	1.559436588
27	1.547324342
28	1.535370888
29	1.524255064
30	1.513478281
31	1.503154046
32	1.492884118
33	1.483396312
34	1.474246351
35	1.465144294
36	1.456506602
37	1.448236707
38	1.440688753
39	1.433110073
40	1.425845714
41	1.418797668
42	1.412509272
43	1.406069695
44	1.400058516
45	1.39344612
46	1.387887979
47	1.382537561
48	1.377299701
49	1.371701773
50	1.366785302
51	1.361826133
52	1.357223419
53	1.352971044
54	1.348768258
55	1.344837709
56	1.34083181
57	1.336726885
58	1.332892847
59	1.329180125
60	1.325710817
61	1.322490293
62	1.319374206
63	1.316432422
64	1.313618845
65	1.310923659
66	1.308311205
67	1.305662243
68	1.303337362
69	1.300747929
70	1.29838734
71	1.296067686
72	1.294017424
73	1.291914995
74	1.289812421
75	1.287886399
76	1.285981032
77	1.284163748
78	1.28242404
79	1.280835795
80	1.279316079
81	1.277794447
82	1.276390346
83	1.274915824
84	1.273606936
85	1.272224155
86	1.270928224
87	1.269615161
88	1.268302377
89	1.267161943
90	1.265963757
91	1.264810618
92	1.263769005
93	1.262736623
94	1.261601972
95	1.260603987
96	1.259642899
97	1.258704067
98	1.25775929
99	1.256861574
100	1.256083444
101	1.255170551
102	1.254319287
103	1.253453558
104	1.252709798
105	1.251924024
106	1.251287742
107	1.250629752
108	1.249908829
109	1.249167577
110	1.248468995
111	1.247666036
112	1.246999943
113	1.246331092
114	1.245717641
115	1.245161614
116	1.244534492
117	1.243944588
118	1.24332844
119	1.242759438
120	1.242256196
121	1.241668203
122	1.241069283
123	1.240643259
124	1.240109633
125	1.239687105
126	1.239148963
127	1.238758723
128	1.238288072
129	1.23780155
130	1.23736062
131	1.236966701
132	1.236366999
133	1.235955504
134	1.235526505
135	1.235078117
136	1.234638192
137	1.234264039
138	1.233911321
139	1.233501329
140	1.233076975
141	1.232672913
142	1.232368781
143	1.232023753
144	1.23168102
145	1.231371818
146	1.231041764
147	1.230646756
148	1.230339766
149	1.22996757
150	1.229632063
151	1.229332482
152	1.229071087
153	1.228788572
154	1.228456634
155	1.228146016
156	1.227879661
157	1.227618345
158	1.227421382
159	1.227176126
160	1.226889462
161	1.226655673
162	1.226387133
163	1.226140852
164	1.225872847
165	1.225623844
166	1.22537123
167	1.225145444
168	1.224913955
169	1.224699663
170	1.224488371
171	1.224296404
172	1.22406137
173	1.223862519
174	1.223688663
175	1.223439176
176	1.223252411
177	1.22307496
178	1.22280492
179	1.222586679
180	1.222385499
181	1.222207161
182	1.222074735
183	1.221846355
184	1.221675792
185	1.221478314
186	1.221232518
187	1.221025055
188	1.220776359
189	1.220555064
190	1.220387165
191	1.220265322
192	1.220147161
193	1.219998741
194	1.219814697
195	1.219665764
196	1.219475202
197	1.219322914
198	1.219066864
199	1.218895948
200	1.218744897
201	1.218590968
202	1.21840011
203	1.218268968
204	1.218080137
205	1.217942684
206	1.217743279
207	1.217580646
208	1.217367688
209	1.217267058
210	1.217146882
211	1.216958712
212	1.216815607
213	1.216673385
214	1.216591218
215	1.216403089
216	1.216263859
217	1.216059161
218	1.215932756
219	1.215803568
220	1.215662151
221	1.215538865
222	1.215452969
223	1.215288183
224	1.215168286
225	1.215085297
226	1.214942629
227	1.214782213
228	1.214573567
229	1.214457509
230	1.214343072
231	1.214211604
232	1.214067802
233	1.213939787
234	1.213850007
235	1.213739995
236	1.213552415
237	1.213449035
238	1.213219949
239	1.213063506
240	1.212830519
241	1.212657482
242	1.212559664
243	1.212448054
244	1.21232794
245	1.212207266
246	1.212098672
247	1.211983914
248	1.211794084
249	1.21164682
250	1.211539597
251	1.211442923
252	1.211234612
253	1.211137002
254	1.211067014
255	1.210925458
256	1.210780702
257	1.210691886
258	1.210504221
259	1.210432094
260	1.210324085
261	1.210251082
262	1.210182709
263	1.210088973
264	1.210035081
265	1.209884198
266	1.20981224
267	1.209708186
268	1.20957744
269	1.209469728
270	1.209347621
271	1.209232841
272	1.209150545
273	1.208947018
274	1.208722576
275	1.208549089
276	1.208452775
277	1.208338597
278	1.208246367
279	1.208175076
280	1.208016129
281	1.207896494
282	1.207790635
283	1.207634189
284	1.207521301
285	1.20739111
286	1.207342924
287	1.207206996
288	1.20708883
289	1.207035047
290	1.206941298
291	1.206888087
292	1.206785699
293	1.206674902
294	1.206631133
295	1.206546981
296	1.206485961
297	1.206330066
298	1.206235983
299	1.206166802
300	1.206101402
301	1.20593572
302	1.205843647
303	1.205666187
304	1.205559746
305	1.205461526
306	1.205371727
307	1.205286523
308	1.205175678
309	1.205090944
310	1.204968147
311	1.204884364
312	1.204757283
313	1.204708405
314	1.204596741
315	1.204504086
316	1.204395581
317	1.204270686
318	1.204152236
319	1.204111024
320	1.203996382
321	1.203880155
322	1.203766472
323	1.203705165
324	1.203612322
325	1.203516544
326	1.203388433
327	1.203324886
328	1.203232807
329	1.203102669
330	1.203037787
331	1.2029548
332	1.202839992
333	1.202725312
334	1.202638526
335	1.202553231
336	1.2024734
337	1.202346844
338	1.202267534
339	1.202175194
340	1.202062987
341	1.201965953
342	1.201874589
343	1.201763639
344	1.201710861
345	1.201649011
346	1.201615328
347	1.201536115
348	1.201438409
349	1.201329318
350	1.201278073
351	1.201223764
352	1.201161451
353	1.201052783
354	1.200963494
355	1.200881917
356	1.200839879
357	1.200770396
358	1.200722906
359	1.200640758
360	1.200495957
361	1.200364872
362	1.200235631
363	1.200126254
364	1.20004522
365	1.199998474
366	1.199933335
367	1.199839837
368	1.199749977
369	1.199665682
370	1.19955394
371	1.199521017
372	1.199388828
373	1.199308238
374	1.199207946
375	1.199116242
376	1.199037382
377	1.198951416
378	1.198914224
379	1.198888642
380	1.19876329
381	1.198666618
382	1.198553276
383	1.198425522
384	1.198292466
385	1.19817383
386	1.198068746
387	1.197931659
388	1.197866313
389	1.197773647
390	1.197700053
391	1.197620178
392	1.197562551
393	1.197501615
394	1.197412018
395	1.197308628
396	1.197236517
397	1.197208522
398	1.197123255
399	1.197035331
400	1.196900243
401	1.196806957
402	1.196687083
403	1.196661565
404	1.196560448
405	1.196505575
406	1.196397483
407	1.196354462
408	1.196306779
409	1.196212178
410	1.196158651
411	1.196061741
412	1.195975883
413	1.195892857
414	1.195804868
415	1.195712159
416	1.195655055
417	1.195623327
418	1.195481846
419	1.195421984
420	1.195319263
421	1.195269253
422	1.195215205
423	1.195198711
424	1.195144874
425	1.19507157
426	1.195018695
427	1.194901747
428	1.194804528
429	1.194702757
430	1.194634721
431	1.194581297
432	1.19450436
433	1.194475686
434	1.194380621
435	1.194272365
436	1.19419588
437	1.194136738
438	1.194111023
439	1.193996522
440	1.193924528
441	1.193821511
442	1.19378877
443	1.193692422
444	1.193607162
445	1.193593381
446	1.193525347
447	1.193432057
448	1.193318894
449	1.193239388
450	1.193171628
451	1.193060633
452	1.192969215
453	1.19288499
454	1.192799649
455	1.192766725
456	1.192741609
457	1.192682551
458	1.19257726
459	1.192527783
460	1.192420607
461	1.192333496
462	1.192236196
463	1.192162751
464	1.192063775
465	1.191961157
466	1.191873974
467	1.191755572
468	1.191699694
469	1.191653751
470	1.191575213
471	1.191561722
472	1.191502972
473	1.191429986
474	1.191407987
475	1.191349749
476	1.191305266
477	1.191282339
478	1.191195664
479	1.191102567
480	1.191060451
481	1.191016792
482	1.190942278
483	1.19091151
484	1.190867302
485	1.190825891
486	1.190671753
487	1.190596037
488	1.190521903
489	1.190473211
490	1.190382325
491	1.190294303
492	1.19026704
493	1.190191077
494	1.190123947
495	1.190112318
496	1.190034254
497	1.189999279
498	1.189964483
499	1.189914732
500	1.189823622
501	1.189708554
502	1.189662186
503	1.189578133
504	1.189497926
505	1.189482063
506	1.189438674
507	1.189364538
508	1.189300746
509	1.189236281
510	1.189184977
511	1.189113124
512	1.189040563
513	1.188940549
514	1.188862016
515	1.188733917
516	1.188715558
517	1.188647721
518	1.18860586
519	1.188548229
520	1.188469541
521	1.188427965
522	1.188368008
523	1.188315123
524	1.188238004
525	1.188162872
526	1.18808537
527	1.188011297
528	1.187990817
529	1.187974408
530	1.187940549
531	1.187859041
532	1.187812519
533	1.187781374
534	1.187742232
535	1.187660286
536	1.187599339
537	1.187540338
538	1.187501232
539	1.187408353
540	1.187333205
541	1.18729677
542	1.187203541
543	1.187127496
544	1.187060181
545	1.187011331
546	1.186998291
547	1.186908207
548	1.186893647
549	1.186838481
550	1.186751917
551	1.186680795
552	1.186634927
553	1.186533531
554	1.186492083
555	1.186420914
556	1.186387632
557	1.186360794
558	1.186271735
559	1.186150697
560	1.18606868
561	1.185983948
562	1.185894409
563	1.185819778
564	1.185744973
565	1.185672109
566	1.185628606
567	1.185575071
568	1.1855648
569	1.185468274
570	1.185450348
571	1.18536961
572	1.185346841
573	1.185305964
574	1.185243574
575	1.185157273
576	1.185048686
577	1.184984722
578	1.184915865
579	1.184879828
580	1.184865131
581	1.184823051
582	1.184745665
583	1.18469642
584	1.184646036
585	1.184553967
586	1.184461336
587	1.184413788
588	1.184328679
589	1.184325678
590	1.184283329
591	1.184267545
592	1.184196778
593	1.184124693
594	1.184017921
595	1.183946959
596	1.183859245
597	1.183801784
598	1.183715983
599	1.18366819
600	1.183633747
601	1.183617241
602	1.183541618
603	1.183455288
604	1.183345653
605	1.183311632
606	1.183231163
607	1.183219618
608	1.183151192
609	1.18308684
610	1.183035313
611	1.182985745
612	1.182890994
613	1.182804737
614	1.182782052
615	1.182754315
616	1.182733446
617	1.182668009
618	1.182597269
619	1.182539169
620	1.182497921
621	1.182410476
622	1.182388639
623	1.182370944
624	1.182291645
625	1.182234498
626	1.182170079
627	1.182103069
628	1.182057995
629	1.181988598
630	1.181902257
631	1.181846142
632	1.181805191
633	1.181719761
634	1.181717523
635	1.181667825
636	1.181654206
637	1.181643802
638	1.181597315
639	1.181583223
640	1.181576676
641	1.181521308
642	1.18146392
643	1.181406292
644	1.181347836
645	1.181276208
646	1.181197034
647	1.181133173
648	1.181068798
649	1.18103523
650	1.181029515
651	1.180992996
652	1.180947493
653	1.180870982
654	1.180781226
655	1.180741801
656	1.180693827
657	1.180678862
658	1.180635131
659	1.180576403
660	1.180542869
661	1.180493221
662	1.180450909
663	1.180414223
664	1.180336422
665	1.18028213
666	1.180199441
667	1.180145203
668	1.180093892
669	1.180071792
670	1.180055732
671	1.179966129
672	1.179881286
673	1.179838883
674	1.179834238
675	1.179742997
676	1.179649563
677	1.179636645
678	1.179545827
679	1.179499171
680	1.17944038
681	1.179411084
682	1.179355437
683	1.179323083
684	1.179240711
685	1.179184317
686	1.179134753
687	1.179092487
688	1.179079401
689	1.178983771
690	1.178919297
691	1.178871594
692	1.178793956
693	1.178752273
694	1.178672846
695	1.178670181
696	1.178611066
697	1.178605406
698	1.178550366
699	1.178529796
700	1.178527156
701	1.178498841
702	1.178450524
703	1.178405906
704	1.178373256
705	1.178272377
706	1.178234998
707	1.178208344
708	1.178148601
709	1.178106632
710	1.178074467
711	1.177987476
712	1.177939107
713	1.177929052
714	1.177921794
715	1.17792
716	1.177904988
717	1.177845316
718	1.177788193
719	1.17772717
720	1.177648049
721	1.177554015
722	1.177530172
723	1.177486631
724	1.177482482
725	1.17742334
726	1.17738462
727	1.177336925
728	1.177285761
729	1.17726818
730	1.177196987
731	1.177191371
732	1.177129637
733	1.177117328
734	1.177027585
735	1.176965231
736	1.176926021
737	1.17690791
738	1.176865119
739	1.17684218
740	1.176808739
741	1.176763017
742	1.176717214
743	1.176711423
744	1.176604124
745	1.17653899
746	1.176483839
747	1.176413346
748	1.176358008
749	1.176306674
750	1.176201822
751	1.176160771
752	1.176075685
753	1.176027817
754	1.175952718
755	1.175912891
756	1.175833711
757	1.175815839
758	1.1757454
759	1.175742327
760	1.175651774
761	1.175639088
762	1.175570443
763	1.175502034
764	1.175459592
765	1.175457733
766	1.175422354
767	1.175356294
768	1.175351542
769	1.175319295
770	1.175277464
771	1.17522666
772	1.175214681
773	1.175150626
774	1.175044062
775	1.17495311
776	1.174942229
777	1.174912463
778	1.174871295
779	1.174840466
780	1.174751777
781	1.174747923
782	1.174745343
783	1.174727345
784	1.174695541
785	1.174633932
786	1.174549071
787	1.174501639
788	1.174437492
789	1.17441192
790	1.174326749
