iter	Passed	Remaining
0	11	17690
1	22	16572
2	32	16090
3	44	16570
4	55	16709
5	66	16444
6	77	16442
7	85	15923
8	95	15841
9	105	15712
10	116	15732
11	125	15612
12	135	15527
13	144	15325
14	154	15294
15	162	15051
16	173	15139
17	184	15228
18	198	15483
19	209	15505
20	223	15731
21	235	15795
22	248	15927
23	259	15970
24	272	16068
25	285	16208
26	298	16265
27	310	16325
28	324	16445
29	336	16498
30	348	16524
31	358	16459
32	373	16606
33	384	16594
34	396	16608
35	406	16534
36	417	16518
37	429	16523
38	440	16491
39	451	16485
40	463	16510
41	475	16500
42	486	16494
43	497	16461
44	507	16406
45	517	16356
46	529	16370
47	540	16362
48	552	16361
49	563	16330
50	573	16295
51	584	16287
52	596	16281
53	607	16265
54	618	16260
55	627	16174
56	639	16185
57	651	16203
58	663	16198
59	674	16185
60	686	16193
61	696	16150
62	708	16152
63	719	16135
64	731	16155
65	741	16120
66	753	16118
67	764	16096
68	775	16086
69	787	16088
70	798	16075
71	811	16102
72	823	16102
73	834	16077
74	847	16109
75	858	16083
76	869	16075
77	882	16092
78	892	16061
79	905	16070
80	917	16068
81	928	16057
82	941	16067
83	954	16083
84	966	16090
85	978	16084
86	991	16097
87	1003	16103
88	1016	16120
89	1028	16115
90	1040	16109
91	1052	16103
92	1065	16119
93	1077	16109
94	1088	16103
95	1100	16092
96	1113	16112
97	1125	16104
98	1137	16096
99	1149	16094
100	1161	16089
101	1173	16085
102	1186	16095
103	1197	16080
104	1210	16087
105	1221	16063
106	1232	16050
107	1247	16077
108	1260	16082
109	1273	16090
110	1286	16102
111	1299	16110
112	1313	16121
113	1330	16178
114	1349	16257
115	1365	16289
116	1380	16318
117	1392	16313
118	1408	16344
119	1420	16339
120	1432	16321
121	1444	16311
122	1454	16285
123	1466	16270
124	1478	16258
125	1489	16248
126	1501	16232
127	1513	16220
128	1525	16210
129	1536	16188
130	1549	16191
131	1562	16190
132	1575	16194
133	1586	16175
134	1598	16167
135	1611	16162
136	1624	16159
137	1636	16150
138	1647	16128
139	1660	16130
140	1673	16127
141	1685	16123
142	1698	16119
143	1711	16116
144	1725	16125
145	1737	16116
146	1749	16103
147	1761	16095
148	1774	16090
